Cultivar,Epithet,Category,Color / Form,Description,Notes,Image URL
Ruby Irene,Camellia japonica 'Ruby Read',,Pink / Formal Double,"Registered 2022; 9-year chance seedling; Upright, dense growth; Ruby Read （ C. japonica ） Registered in 2022 . ACS Registration #3323 . It was originated and registeredby Glenn & Jill Read from Lucedale, Mississippi ， USA. A 9 year old Chance seedling . It was firstbloomed in 2016 . Flower Formal double , Mediumto large size, 11.4 cm in diameter and 0.0 cm in depth, Lightpink . Leaf Medium green , 7.6 cm long, and 3.8 cmwide. Plant Average , Upright, dense growth . Cold hardy to 14°.","Ruby Read is a japonica camellia, registered in 2022. Grown as a 9-year-old chance seedling. The flowers are formal double in form, displaying pink coloring. Growth is Upright, dense growth . As a japonica camellia, Ruby Read is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Ruby Irene' and is registered as 'Ruby Read'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Ruby+Read
Cile Sutton,Camellia japonica 'Cilie Sutton',,White/Pink / Single,"Registered 2008; Vigorous, upright, spreading growth; Cilie Sutton. (C.japonica), SCCS Camellia Nomenclature 2009, p.31; White with pink tinges at the petal edges. Medium size single. Vigorous, upright, spreading growth. Flowers mid-season. Rebel Yell x Omega. Raised by CamelliaShop, Savannah, Ga, USA, in 2008.","Cilie Sutton is a japonica camellia, registered in 2008. The flowers are single in form, displaying white/pink coloring. Growth is Vigorous, upright, spreading growth. As a japonica camellia, Cilie Sutton is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cile Sutton' and is registered as 'Cilie Sutton'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Cilie+Sutton
Mary Dillard,Camellia reticulata 'Mary Williams',,Pink / Single,"Registered 1942; Anonymous, Mar.1942, Gardeners’ Chronicle, ser.3, 111:139: RHS., ‘Award of Merit’. This is stated to be the finest form of Forrest’s No.27163 from Yunnan, China. The flowers are very large and saucer shaped - over 12.5 cm across. The colour is rose-pink. See colour pl., fig.59, p.145, Apr.4th. 1942 issue Gardeners’ Chronicle, ser.3, 111:145. The flower is sin­gle, 6-8 ovate petals, deeply notched with a small, central stamen cluster, anthers golden, filaments pinkish white. Received a RHS., F.C.C. in 1964. Originated.","Mary Williams is a reticulata hybrid camellia, registered in 1942. The flowers are single in form, displaying pink coloring. Awards and recognition: RHS; Award of Merit’. As a reticulata hybrid camellia, Mary Williams is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Mary Dillard' and is registered as 'Mary Williams'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Mary+Williams
Little Susie,Camellia japonica 'Little Cutie',,Pink / Formal Double,"ACS #1808 (1982); Ted Alfter; 8-year seedling, first bloomed 1977; Upright, dense and rapid in rate with dark green leaves, 8 cm long","Little Cutie is a japonica camellia originated by Ted Alfter of Bakersfield, California, USA, registered in 1982 (ACS Reg. No. 1808). First published in the American Camellia Yearbook. Grown as a 8-year-old seedling that first bloomed in 1977. The flowers are formal double in form, displaying pink coloring. Each bloom features 50 petals. Plant growth is upright, dense and rapid in rate with dark green leaves, 8 cm long x 4. Foliage features dark green leaves, 8 cm long x 4. As a japonica camellia, Little Cutie is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Little Susie' and is registered as 'Little Cutie'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Little+Cutie
Grand Marshall,Camellia japonica 'Grand Marshal',,Dark Red / Peony,"ACS #2121 (1988); Nuccio; 10-year seedling, first bloomed 1982; Vigorous, upright growth; Gentry, 1988, ACS., The Camellia Journal, vol.43, No.4, p.19. No descrip­tion. Nuccio’s Nurseries Catalogue, 1988-1989, p.8, #8209: Rich, deep red. Anemone to peony form. Medium to large size. Glossy, green, handsome foliage. Vigorous, upright growth. Mid­season blooming. Originated by Nuccio’s Nurseries, Altadena, California, USA. See colour photo rear cover, SCCS., 1988, The Camellia Review, vol.50, No.1. American Camellia Yearbook, 1989, p.123, Reg. No.2121: The 10 year old seedling first bloomed 1982. Plant growth is upright and rapid. Incorrectly as ‘Grand.","Grand Marshal is a japonica camellia originated by Nuccio of Altadena, California, USA, registered in 1988 (ACS Reg. No. 2121). First published in the American Camellia Yearbook. Grown as a 10-year-old seedling that first bloomed in 1982. The flowers are peony in form, displaying dark red coloring. Plant growth is upright and rapid. As a japonica camellia, Grand Marshal is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Grand Marshall' and is registered as 'Grand Marshal'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Grand+Marshal
Anemoni Flora,Camellia japonica 'Anemoniflora',,Dark Red / Anemone,"Registered 1814; Open, vigorous and spreading; Curtis, 1814, Botanical Magazine; Aiton, 1812, Hortus Kewensis as ‘Anemone-flowered’: First brought to England from China in 1806, it was described and illus­trated in a great many horticultural publications of the time. The flower is the prototype of the ""anemone forms with 5-6 large, outer guard petals with emarginate apices and a central cush­ion of ligulate petaloids, 7.5-8 cm across. Colour turkey red, becoming very dark in some condi­tions. Buds, round, developing dark brown, leathery edges to the scales. Leaves,.","Anemoniflora is a japonica camellia, registered in 1814. The flowers are anemone in form, displaying dark red coloring. Growth is open, vigorous and spreading. As a japonica camellia, Anemoniflora is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Anemoni Flora' and is registered as 'Anemoniflora'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Anemoniflora
Pink Champagne,Camellia japonica 'Elegans Champagne',,White Variegated / Anemone,"ACS #1526 (1977); Nuccio, Altadena, California; Spreading growth; Nuccio’s Nurseries Catalogue, 1977, p.6: Beautiful sport of Ele­gans Splendor. White with cream centre petaloids. Sometimes base of petals showing pink. Early to mid-season blooming. American Camellia Yearbook, 1979, p.105, Reg. No.1526: A large to very large, white with cream centre petaloids, sometimes base of petals showing pink, anemone form C.japonica mutant of Elegans Splendor; originated by Nuccio’s Nurseries, Altadena, California, USA. First observed 1970, size 11.5 cm wide x 5 cm deep with markedly fimbriated leaves and low, spreading.","Elegans Champagne is a japonica camellia originated by Nuccio of Altadena, California, USA, registered in 1977 (ACS Reg. No. 1526). First published in the American Camellia Yearbook. It is a sport of Ele­gans Splendor. The flowers are anemone in form, displaying white variegated coloring. Growth is spreading growth. Awards and recognition: William Hertrich Award” for 1982. As a japonica camellia, Elegans Champagne is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Pink Champagne' and is registered as 'Elegans Champagne'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Elegans+Champagne
Nick's Thirteen,Camellia japonica 'Nick's Thirteen',,Pink / Semi-double,"ACS #1019 (1969); Nick J. Adams; 12-year chance seedling, first bloomed 1958; Upright, open and rapid with dark green leaves, 9","Nick's Thirteen is a japonica camellia originated by Nick J. Adams of Albany, Georgia, USA, registered in 1969 (ACS Reg. No. 1019). First published in the American Camellia Yearbook. Grown as a 12-year-old chance seedling that first bloomed in 1958. The flowers are semi-double in form, displaying pink coloring. Each bloom features 24 petals. Plant growth is upright, open and rapid with dark green leaves, 9. Foliage features dark green leaves, 9. As a japonica camellia, Nick's Thirteen is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nick%27s+Thirteen
Ave Maria,Camellia japonica 'Ave Maria',,Pink / Formal Double,"ACS #270 (1955); Caesar Breschini, San Jose, California; 10-year seedling; Tourje, 1955, American Camellia Yearbook , p.32: A fully formal double to peony form seedling; originated by Caesar Breschini, San Jose, California, USA. The colour is a shade deeper than ‘Pink Perfection’, (Otome). The petals number 45-50. The plant, which resembles Debutante, starts to bloom a little earlier than Daikagura. American Camellia Yearbook , 1956, p.58, Reg. No.270: A 10 year old seedling of ‘Paeoniaeflora’, (Aspasia Macarthur), bloomed for the first time, 1953. Orthographic errors: ‘Ava Marie’, ‘Ava Maria’. See.","Ave Maria is a japonica camellia originated by Caesar Breschini of San Jose, California, USA, registered in 1955 (ACS Reg. No. 270). First published in the American Camellia Yearbook. Grown as a 10-year-old seedling. The flowers are formal double in form, displaying pink coloring. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 2002 at H5. As a japonica camellia, Ave Maria is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Ave+Maria
Drama Girl,Camellia japonica 'Drama Girl',,Pink Variegated / Semi-double,"ACS #430 (1950); Mrs Anne Galli, California, USA; 14-year seedling; Vigorous, open, pendulous growth; SCCS Bulletin, vol.11, No.6, p.4, June 1950. SCCS., 1951, The Camellia. Its Culture and Nomenclature: Deep salmon rose­pink. Very large, semi-double. Vigorous, open, pendulous growth. American Camellia Yearbook, 1959, p.271, Reg. No.430: A 14 year old seedling of Latifolia Variegated, originated by Mrs Anne Galli, California, USA. The dark green leaves average 16 cm long x 8 cm wide. The flow­ers range from 13-18 cm across and 8 cm deep. They have yellow stamens and 20-30 petals of heavy texture.","Drama Girl is a japonica camellia originated by Mrs Anne Galli of California, USA, registered in 1950 (ACS Reg. No. 430). First published in the American Camellia Yearbook. Grown as a 14-year-old seedling. The flowers are semi-double in form, displaying pink variegated coloring. Each bloom features 30 petals. Growth is Vigorous, open, pendulous growth. Foliage features dark green leaves average 16 cm long x 8 cm wide. Awards and recognition: RHS, FCC, 1969; AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 1993 at H5. As a japonica camellia, Drama Girl is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Drama+Girl
Betty Sheffield,Betty Sheffield Baby,,White Variegated / Semi-double,"Registered 1949; American Camellia Society News-Letter, 1949, Vol.4,No.4, p.9. Thomasville Nursery Catalogue , 1951; Fendig, 1981, American Camellia Catalogue: A medium to large, white with a few red and pink splotches and stripes, incomplete double amenone form, 10-11 cm across with large, erect petaloids intermixed with stamens. Leaves, glossy, rich green, oval, 10.5 cm by 6.5 cm, apex prominent acuminate, serrations shal­low with black pointed tips. A seedling of Mrs F.L. Gibson, planted 1944 and grown by Mrs A.B. Sheffield, Thomasville, Georgia,.","Betty Sheffield is a japonica camellia, registered in 1949. First published in the American Camellia Society News-Letter. The flowers are semi-double in form, displaying white variegated coloring. As a japonica camellia, Betty Sheffield is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Betty+Sheffield
Clower White,Camellia japonica 'Clower White',,White / Semi-double,"Registered 1949; Vigorous, heavy foliage and growth; Doty et al., 1949, American Camellia Yearbook , p.243: From seed produced by T.S. Clower, Gulfport, Mississippi, USA by pollinating Gloire de Nantes with Nobilissima in 1937. First flowered 1943. The plant has vigorous, heavy foliage and growth. The flowers are pure white, loose, incomplete double, with high, upright, inner petals interspersed with sta­mens. The anthers turn black with age. Orthographic error: ‘Clower’s White’. Registered No.32 by American Camellia Society in their Quarterly, vol.5, No.1, 1950.","Clower White is a japonica camellia, registered in 1949. First published in the American Camellia Yearbook. The flowers are semi-double in form, displaying white coloring. Growth is vigorous, heavy foliage and growth. As a japonica camellia, Clower White is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Clower+White
Scentsation,Camellia 'Sweet Scentsation',,Pink / Peony,Registered 2016; Upright petals and have a wide orchid band that shades to blush pin,"Sweet Scentsation is a ornamental camellia, registered in 2016. First published in the American Camellia Yearbook. It arose as a chance seedling . The flowers are peony in form, displaying pink coloring. Notably, this cultivar produces this fragrant long lasting profuse bloomer has heavy petal texture with consistent form and florescence. Growth is upright petals and have a wide orchid band that shades to blush pink at the center. Foliage features medium green leaves have low serration and average 6. As a ornamental camellia, Sweet Scentsation is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Scentsation' and is registered as 'Sweet Scentsation'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Sweet+Scentsation
Madge Rouse,Camellia japonica 'Madame Reuss',,Unknown / Unknown,"Registered 1972; Hazlewood & Jessep, 1972, Checklist - Camellia Cultivars from Nursery Catalogues, p. 145. No description. Originated in Belgium. (Believed extinct.).","Madame Reuss is a japonica camellia, registered in 1972. The flowers are unknown in form, displaying unknown coloring. As a japonica camellia, Madame Reuss is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Madge Rouse' and is registered as 'Madame Reuss'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Madame+Reuss
San Dimas,Camellia japonica 'San Dimas',,Dark Red Variegated / Semi-double,"ACS #1194 (1972); Clark Thomas, San Dimas, California; 10-year seedling, first bloomed 1966; Upright, dense and medium with very dark green leaves, 7 cm x 4","San Dimas is a japonica camellia originated by Clark Thomas of San Dimas, California, USA, registered in 1972 (ACS Reg. No. 1194). First published in the American Camellia Yearbook. Grown as a 10-year-old seedling that first bloomed in 1966. The flowers are semi-double in form, displaying dark red variegated coloring. Each bloom features 19 petals with yellow anthers and filaments. Plant growth is upright, dense and medium with very dark green leaves, 7 cm x 4. Foliage features dark green leaves, 7 cm x 4. Awards and recognition: AGM (Award of Garden Merit) plant by the Royal Horticultural Society in 2002 at H5. As a japonica camellia, San Dimas is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=San+Dimas
Raspberry Sherbert,Camellia 'Raspberry Delight',,Pink / Semi-double,"Registered 1974; McCaskill Gardens; Vigorous, open, upright growth; SCCS., 1974, Camellia Nomenclature, p.178: Raspberry-rose, Large, semi-double with large, fluted petals. Vigorous, open, upright growth. Mid-season to late blooming. A cross of William’s Lavender x C.japonica. Originated by McCaskill Gardens, Pasadena, California, USA.","Raspberry Delight is a ornamental camellia originated by McCaskill Gardens of Pasadena, California, USA, registered in 1974. The flowers are semi-double in form, displaying pink coloring. Growth is Vigorous, open, upright growth. As a ornamental camellia, Raspberry Delight is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Raspberry Sherbert' and is registered as 'Raspberry Delight'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Raspberry+Delight
Granada,Camellia japonica 'Alessandro Il Grande',,White / Formal Double,"Registered 1841; van Houtte Catalogue, 1841, 7:1. No description. van Houtte Catalogue,1842, 19:7: Well imbricated, pink coloured, with a white stripe down the centre of each petal. Fratelli Rovelli Catalogue, 1852, p.11: Milano. Very large size, imbricated, beautiful red. Orthographic variants: ‘Alexandre-le-Grande’, ‘Alexandre II’, ‘Alexandro il Grande’, ‘Alessandre le Grand’. Originated in Italy.","Alessandro Il Grande is a japonica camellia, registered in 1841. The flowers are formal double in form, displaying white coloring. As a japonica camellia, Alessandro Il Grande is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Granada' and is registered as 'Alessandro Il Grande'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Alessandro+Il+Grande
Nanna Brown,Camellia japonica 'Nannie Brown',,Pink / Semi-double,"ACS #294 (1957); Mrs Sarah Jane Brown, Monticello, Florida; 10-year chance seedling, first bloomed 1950; Open and medium with dark green leaves, 8 cm long x 4","Nannie Brown is a japonica camellia originated by Mrs Sarah Jane Brown of Monticello, Florida, USA, registered in 1957 (ACS Reg. No. 294). Grown as a 10-year-old chance seedling that first bloomed in 1950. The flowers are semi-double in form, displaying pink coloring. Each bloom features 16 petals. Plant growth is open and medium with dark green leaves, 8 cm long x 4. Foliage features dark green leaves, 8 cm long x 4. As a japonica camellia, Nannie Brown is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Nanna Brown' and is registered as 'Nannie Brown'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Nannie+Brown
Cleve James,Camellia 'Jimmy James',,Pink / Peony,"ACS #651 (1962); V.R; 9-year hybrid, first bloomed 1957; Upright and spreading with dark green leaves, 8","Jimmy James is a ornamental camellia originated by V.R of James, Aptos, registered in 1962 (ACS Reg. No. 651). First published in the American Camellia Yearbook. Grown as a 9-year-old hybrid that first bloomed in 1957. The flowers are peony in form, displaying pink coloring. Each bloom features 20 petals. Plant growth is upright and spreading with dark green leaves, 8. Foliage features dark green leaves, 8. As a ornamental camellia, Jimmy James is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Cleve James' and is registered as 'Jimmy James'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Jimmy+James
Elegant Beauty,Camellia 'Elegant Beauty (Hahn)',,Unknown Variegated / Unknown,"Registered 1993; ACS 1993, The Camellia Journal, vol.48, No.4, p.32. Valdosta Camellia Scions list. No description. A special form of Elegant Beauty Variegated. Originated in USA.","Elegant Beauty (Hahn) is a ornamental camellia, registered in 1993. The flowers are unknown in form, displaying unknown variegated coloring. As a ornamental camellia, Elegant Beauty (Hahn) is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Elegant Beauty' and is registered as 'Elegant Beauty (Hahn)'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Elegant+Beauty+%28Hahn%29
Woodville Red,Camellia japonica 'Woodville Red Blush',,Pink / Peony,"ACS #522 (1961); Upright, similar to parent, with light green leaves, 7; American Camellia Yearbook, 1961, p.230, Reg. No.522: A sport of Woodville Red, first propagated by Leslie G. Thomas, Azalea Road Nursery, Mobile, Alabama. Growth habit is rapid and upright, similar to parent, with light green leaves, 7.5-8 cm long x 3.8 cm wide. The peony form flowers are blush pink, fading to white with golden anthers, 10 cm across x 6 cm deep with 60 petals. Blooms mid-season. Abbreviation: ‘Woodville Blush’. Chinese synonym ‘Danfen Wude’.","Woodville Red Blush is a japonica camellia, registered in 1961 (ACS Reg. No. 522). First published in the American Camellia Yearbook. It is a sport of Woodville Red, first propagated by Leslie G. The flowers are peony in form, displaying pink coloring. Each bloom features 60 petals with golden anthers, 10 cm across x 6 cm deep with 60 petal. Growth is upright, similar to parent, with light green leaves, 7. Foliage features light green leaves, 7. As a japonica camellia, Woodville Red Blush is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Woodville Red' and is registered as 'Woodville Red Blush'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Woodville+Red+Blush
Spring Fling,Camellia 'Spring Frill',,White / Rose Form Double,"ACS #2255 (1992); Hybrid: C. oleifera × C. vernalis; 12-year seedling; Upright, average and slow in rate with dark green leaves 8 cm long","Spring Frill is a ornamental camellia, registered in 1992 (ACS Reg. No. 2255). First published in the American Camellia Yearbook. This is a hybrid of C. oleifera × C. vernalis. Grown as a 12-year-old seedling. The flowers are rose form double in form, displaying white coloring. Each bloom features 34 petals with yellow anthers and white filaments. Plant growth upright, average and slow in rate with dark green leaves 8 cm long x 3. Foliage features dark green leaves 8 cm long x 3. As a ornamental camellia, Spring Frill is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Spring Fling' and is registered as 'Spring Frill'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Spring+Frill
Aspacia McArthur,Camellia japonica 'Aspasia Macarthur',,Red Variegated / Peony,"Registered 1848; Botanical Society of New South Wales Report, 1848, invalidly as ‘Aspa­sia’: White flushed flesh pink at base of petals and flaked with pink. Large, peony form. A Macarthur seedling from Camden Park, N.S.W., Australia. Due to confusion in nomenclature rules on priority, with an Italian cultivar of the same name, Professor Waterhouse, in his Camel­lia Trail, 1952, p.13, proposed that the name should be Aspasia Macarthur. In America the names Aspasia and ‘Aspacia’ have been used as erroneous synonyms for.","Aspasia Macarthur is a japonica camellia, registered in 1848. The flowers are peony in form, displaying red variegated coloring. As a japonica camellia, Aspasia Macarthur is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Aspacia McArthur' and is registered as 'Aspasia Macarthur'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Aspasia+Macarthur
Kathryn Jury,Camellia japonica 'Kathryn Marbury',,Pink / Formal Double,"ACS #771 (1964); S.L. Marbury; 9-year chance seedling, first bloomed 1960; Upright and average with dark green leaves averaging 7","Kathryn Marbury is a japonica camellia originated by S.L. Marbury of Wilmington, North Carolina, USA, registered in 1964 (ACS Reg. No. 771). First published in the American Camellia Yearbook. Grown as a 9-year-old chance seedling that first bloomed in 1960. The flowers are formal double in form, displaying pink coloring. Each bloom features 55 petals. Plant growth is upright and average with dark green leaves averaging 7. Foliage features dark green leaves averaging 7. As a japonica camellia, Kathryn Marbury is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Kathryn Jury' and is registered as 'Kathryn Marbury'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Kathryn+Marbury
Honeymoon,Camellia japonica 'Anemoniflora',,Dark Red / Anemone,"Registered 1814; Open, vigorous and spreading; Curtis, 1814, Botanical Magazine; Aiton, 1812, Hortus Kewensis as ‘Anemone-flowered’: First brought to England from China in 1806, it was described and illus­trated in a great many horticultural publications of the time. The flower is the prototype of the ""anemone forms with 5-6 large, outer guard petals with emarginate apices and a central cush­ion of ligulate petaloids, 7.5-8 cm across. Colour turkey red, becoming very dark in some condi­tions. Buds, round, developing dark brown, leathery edges to the scales. Leaves,.","Anemoniflora is a japonica camellia, registered in 1814. The flowers are anemone in form, displaying dark red coloring. Growth is open, vigorous and spreading. As a japonica camellia, Anemoniflora is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Honeymoon' and is registered as 'Anemoniflora'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Anemoniflora
